fy,month,outlay_amount_M,date,outlay_amount,source_func_parent,total_OL_month
2016,1,39886.0,1-2016,39886000000.0,National Defense,258416000000.0
2016,1,3733.0,1-2016,3733000000.0,International Affairs,258416000000.0
2016,1,2028.0,1-2016,2028000000.0,"General Science, Space, and Technology",258416000000.0
2016,1,-104.0,1-2016,-104000000.0,Energy,258416000000.0
2016,1,2905.0,1-2016,2905000000.0,Natural Resources and Environment,258416000000.0
2016,1,1833.0,1-2016,1833000000.0,Agriculture,258416000000.0
2016,1,708.0,1-2016,708000000.0,Commerce and Housing Credit,258416000000.0
2016,1,5570.0,1-2016,5570000000.0,Transportation,258416000000.0
2016,1,1384.0,1-2016,1384000000.0,Community and Regional Development,258416000000.0
2016,1,10811.0,1-2016,10811000000.0,"Education, Training, Employment, and Social Services",258416000000.0
2016,1,38377.0,1-2016,38377000000.0,Health,258416000000.0
2016,1,44270.0,1-2016,44270000000.0,Medicare,258416000000.0
2016,1,29056.0,1-2016,29056000000.0,Income Security,258416000000.0
2016,1,49778.0,1-2016,49778000000.0,Social Security,258416000000.0
2016,1,6815.0,1-2016,6815000000.0,Veterans Benefits and Services,258416000000.0
2016,1,3934.0,1-2016,3934000000.0,Administration of Justice,258416000000.0
2016,1,2135.0,1-2016,2135000000.0,General Government,258416000000.0
2016,1,20726.0,1-2016,20726000000.0,Net Interest,258416000000.0
2016,1,-5430.0,1-2016,-5430000000.0,Undistributed Offsetting Receipts,258416000000.0
2016,1,258416.0,1-2016,258416000000.0,Total,258416000000.0
2016,12,56918.0,12-2016,56918000000.0,National Defense,346720000000.0
2016,12,2497.0,12-2016,2497000000.0,International Affairs,346720000000.0
2016,12,3122.0,12-2016,3122000000.0,"General Science, Space, and Technology",346720000000.0
2016,12,177.0,12-2016,177000000.0,Energy,346720000000.0
2016,12,3839.0,12-2016,3839000000.0,Natural Resources and Environment,346720000000.0
2016,12,3010.0,12-2016,3010000000.0,Agriculture,346720000000.0
2016,12,-7834.0,12-2016,-7834000000.0,Commerce and Housing Credit,346720000000.0
2016,12,8021.0,12-2016,8021000000.0,Transportation,346720000000.0
2016,12,2211.0,12-2016,2211000000.0,Community and Regional Development,346720000000.0
2016,12,7590.0,12-2016,7590000000.0,"Education, Training, Employment, and Social Services",346720000000.0
2016,12,49366.0,12-2016,49366000000.0,Health,346720000000.0
2016,12,45848.0,12-2016,45848000000.0,Medicare,346720000000.0
2016,12,47914.0,12-2016,47914000000.0,Income Security,346720000000.0
2016,12,77036.0,12-2016,77036000000.0,Social Security,346720000000.0
2016,12,22340.0,12-2016,22340000000.0,Veterans Benefits and Services,346720000000.0
2016,12,4907.0,12-2016,4907000000.0,Administration of Justice,346720000000.0
2016,12,1824.0,12-2016,1824000000.0,General Government,346720000000.0
2016,12,24056.0,12-2016,24056000000.0,Net Interest,346720000000.0
2016,12,-6123.0,12-2016,-6123000000.0,Undistributed Offsetting Receipts,346720000000.0
2016,12,346720.0,12-2016,346720000000.0,Total,346720000000.0
2016,11,48021.0,11-2016,48021000000.0,National Defense,336526000000.0
2016,11,5512.0,11-2016,5512000000.0,International Affairs,336526000000.0
2016,11,2557.0,11-2016,2557000000.0,"General Science, Space, and Technology",336526000000.0
2016,11,643.0,11-2016,643000000.0,Energy,336526000000.0
2016,11,3240.0,11-2016,3240000000.0,Natural Resources and Environment,336526000000.0
2016,11,5299.0,11-2016,5299000000.0,Agriculture,336526000000.0
2016,11,-638.0,11-2016,-638000000.0,Commerce and Housing Credit,336526000000.0
2016,11,7652.0,11-2016,7652000000.0,Transportation,336526000000.0
2016,11,2339.0,11-2016,2339000000.0,Community and Regional Development,336526000000.0
2016,11,6812.0,11-2016,6812000000.0,"Education, Training, Employment, and Social Services",336526000000.0
2016,11,43370.0,11-2016,43370000000.0,Health,336526000000.0
2016,11,57589.0,11-2016,57589000000.0,Medicare,336526000000.0
2016,11,36830.0,11-2016,36830000000.0,Income Security,336526000000.0
2016,11,76791.0,11-2016,76791000000.0,Social Security,336526000000.0
2016,11,14085.0,11-2016,14085000000.0,Veterans Benefits and Services,336526000000.0
2016,11,4798.0,11-2016,4798000000.0,Administration of Justice,336526000000.0
2016,11,2109.0,11-2016,2109000000.0,General Government,336526000000.0
2016,11,25191.0,11-2016,25191000000.0,Net Interest,336526000000.0
2016,11,-5675.0,11-2016,-5675000000.0,Undistributed Offsetting Receipts,336526000000.0
2016,11,336526.0,11-2016,336526000000.0,Total,336526000000.0
2016,10,52027.0,10-2016,52027000000.0,National Defense,265884000000.0
2016,10,4244.0,10-2016,4244000000.0,International Affairs,265884000000.0
2016,10,2355.0,10-2016,2355000000.0,"General Science, Space, and Technology",265884000000.0
2016,10,218.0,10-2016,218000000.0,Energy,265884000000.0
2016,10,2782.0,10-2016,2782000000.0,Natural Resources and Environment,265884000000.0
2016,10,11882.0,10-2016,11882000000.0,Agriculture,265884000000.0
2016,10,-2089.0,10-2016,-2089000000.0,Commerce and Housing Credit,265884000000.0
2016,10,7222.0,10-2016,7222000000.0,Transportation,265884000000.0
2016,10,2378.0,10-2016,2378000000.0,Community and Regional Development,265884000000.0
2016,10,3978.0,10-2016,3978000000.0,"Education, Training, Employment, and Social Services",265884000000.0
2016,10,40656.0,10-2016,40656000000.0,Health,265884000000.0
2016,10,23636.0,10-2016,23636000000.0,Medicare,265884000000.0
2016,10,21305.0,10-2016,21305000000.0,Income Security,265884000000.0
2016,10,77620.0,10-2016,77620000000.0,Social Security,265884000000.0
2016,10,7410.0,10-2016,7410000000.0,Veterans Benefits and Services,265884000000.0
2016,10,4502.0,10-2016,4502000000.0,Administration of Justice,265884000000.0
2016,10,1923.0,10-2016,1923000000.0,General Government,265884000000.0
2016,10,23403.0,10-2016,23403000000.0,Net Interest,265884000000.0
2016,10,-19567.0,10-2016,-19567000000.0,Undistributed Offsetting Receipts,265884000000.0
2016,10,265884.0,10-2016,265884000000.0,Total,265884000000.0
2016,9,60292.0,9-2016,60292000000.0,National Defense,323178000000.0
2016,9,7843.0,9-2016,7843000000.0,International Affairs,323178000000.0
2016,9,2808.0,9-2016,2808000000.0,"General Science, Space, and Technology",323178000000.0
2016,9,1192.0,9-2016,1192000000.0,Energy,323178000000.0
2016,9,3776.0,9-2016,3776000000.0,Natural Resources and Environment,323178000000.0
2016,9,-2173.0,9-2016,-2173000000.0,Agriculture,323178000000.0
2016,9,-12134.0,9-2016,-12134000000.0,Commerce and Housing Credit,323178000000.0
2016,9,10931.0,9-2016,10931000000.0,Transportation,323178000000.0
2016,9,2474.0,9-2016,2474000000.0,Community and Regional Development,323178000000.0
2016,9,8485.0,9-2016,8485000000.0,"Education, Training, Employment, and Social Services",323178000000.0
2016,9,45477.0,9-2016,45477000000.0,Health,323178000000.0
2016,9,69093.0,9-2016,69093000000.0,Medicare,323178000000.0
2016,9,43019.0,9-2016,43019000000.0,Income Security,323178000000.0
2016,9,76779.0,9-2016,76779000000.0,Social Security,323178000000.0
2016,9,21273.0,9-2016,21273000000.0,Veterans Benefits and Services,323178000000.0
2016,9,5068.0,9-2016,5068000000.0,Administration of Justice,323178000000.0
2016,9,2212.0,9-2016,2212000000.0,General Government,323178000000.0
2016,9,-16966.0,9-2016,-16966000000.0,Net Interest,323178000000.0
2016,9,-6271.0,9-2016,-6271000000.0,Undistributed Offsetting Receipts,323178000000.0
2016,9,323178.0,9-2016,323178000000.0,Total,323178000000.0
2016,8,48666.0,8-2016,48666000000.0,National Defense,338438000000.0
2016,8,2786.0,8-2016,2786000000.0,International Affairs,338438000000.0
2016,8,2777.0,8-2016,2777000000.0,"General Science, Space, and Technology",338438000000.0
2016,8,-372.0,8-2016,-372000000.0,Energy,338438000000.0
2016,8,3569.0,8-2016,3569000000.0,Natural Resources and Environment,338438000000.0
2016,8,425.0,8-2016,425000000.0,Agriculture,338438000000.0
2016,8,3756.0,8-2016,3756000000.0,Commerce and Housing Credit,338438000000.0
2016,8,10071.0,8-2016,10071000000.0,Transportation,338438000000.0
2016,8,2142.0,8-2016,2142000000.0,Community and Regional Development,338438000000.0
2016,8,9794.0,8-2016,9794000000.0,"Education, Training, Employment, and Social Services",338438000000.0
2016,8,46477.0,8-2016,46477000000.0,Health,338438000000.0
2016,8,54755.0,8-2016,54755000000.0,Medicare,338438000000.0
2016,8,35972.0,8-2016,35972000000.0,Income Security,338438000000.0
2016,8,76668.0,8-2016,76668000000.0,Social Security,338438000000.0
2016,8,14306.0,8-2016,14306000000.0,Veterans Benefits and Services,338438000000.0
2016,8,5575.0,8-2016,5575000000.0,Administration of Justice,338438000000.0
2016,8,1393.0,8-2016,1393000000.0,General Government,338438000000.0
2016,8,26270.0,8-2016,26270000000.0,Net Interest,338438000000.0
2016,8,-6593.0,8-2016,-6593000000.0,Undistributed Offsetting Receipts,338438000000.0
2016,8,338438.0,8-2016,338438000000.0,Total,338438000000.0
2016,7,46891.0,7-2016,46891000000.0,National Defense,322813000000.0
2016,7,3335.0,7-2016,3335000000.0,International Affairs,322813000000.0
2016,7,2524.0,7-2016,2524000000.0,"General Science, Space, and Technology",322813000000.0
2016,7,0.0,7-2016,0.0,Energy,322813000000.0
2016,7,3044.0,7-2016,3044000000.0,Natural Resources and Environment,322813000000.0
2016,7,532.0,7-2016,532000000.0,Agriculture,322813000000.0
2016,7,2144.0,7-2016,2144000000.0,Commerce and Housing Credit,322813000000.0
2016,7,7782.0,7-2016,7782000000.0,Transportation,322813000000.0
2016,7,1691.0,7-2016,1691000000.0,Community and Regional Development,322813000000.0
2016,7,6027.0,7-2016,6027000000.0,"Education, Training, Employment, and Social Services",322813000000.0
2016,7,45126.0,7-2016,45126000000.0,Health,322813000000.0
2016,7,50171.0,7-2016,50171000000.0,Medicare,322813000000.0
2016,7,34771.0,7-2016,34771000000.0,Income Security,322813000000.0
2016,7,76734.0,7-2016,76734000000.0,Social Security,322813000000.0
2016,7,14600.0,7-2016,14600000000.0,Veterans Benefits and Services,322813000000.0
2016,7,4453.0,7-2016,4453000000.0,Administration of Justice,322813000000.0
2016,7,1898.0,7-2016,1898000000.0,General Government,322813000000.0
2016,7,27969.0,7-2016,27969000000.0,Net Interest,322813000000.0
2016,7,-6879.0,7-2016,-6879000000.0,Undistributed Offsetting Receipts,322813000000.0
2016,7,322813.0,7-2016,322813000000.0,Total,322813000000.0
2016,6,48815.0,6-2016,48815000000.0,National Defense,323320000000.0
2016,6,3152.0,6-2016,3152000000.0,International Affairs,323320000000.0
2016,6,2591.0,6-2016,2591000000.0,"General Science, Space, and Technology",323320000000.0
2016,6,736.0,6-2016,736000000.0,Energy,323320000000.0
2016,6,3482.0,6-2016,3482000000.0,Natural Resources and Environment,323320000000.0
2016,6,354.0,6-2016,354000000.0,Agriculture,323320000000.0
2016,6,-4085.0,6-2016,-4085000000.0,Commerce and Housing Credit,323320000000.0
2016,6,8585.0,6-2016,8585000000.0,Transportation,323320000000.0
2016,6,1726.0,6-2016,1726000000.0,Community and Regional Development,323320000000.0
2016,6,14537.0,6-2016,14537000000.0,"Education, Training, Employment, and Social Services",323320000000.0
2016,6,42627.0,6-2016,42627000000.0,Health,323320000000.0
2016,6,45715.0,6-2016,45715000000.0,Medicare,323320000000.0
2016,6,32215.0,6-2016,32215000000.0,Income Security,323320000000.0
2016,6,80860.0,6-2016,80860000000.0,Social Security,323320000000.0
2016,6,13623.0,6-2016,13623000000.0,Veterans Benefits and Services,323320000000.0
2016,6,4896.0,6-2016,4896000000.0,Administration of Justice,323320000000.0
2016,6,2500.0,6-2016,2500000000.0,General Government,323320000000.0
2016,6,27108.0,6-2016,27108000000.0,Net Interest,323320000000.0
2016,6,-6117.0,6-2016,-6117000000.0,Undistributed Offsetting Receipts,323320000000.0
2016,6,323320.0,6-2016,323320000000.0,Total,323320000000.0
2017,5,48963.0,5-2017,48963000000.0,National Defense,328844000000.0
2017,5,3302.0,5-2017,3302000000.0,International Affairs,328844000000.0
2017,5,2506.0,5-2017,2506000000.0,"General Science, Space, and Technology",328844000000.0
2017,5,75.0,5-2017,75000000.0,Energy,328844000000.0
2017,5,2538.0,5-2017,2538000000.0,Natural Resources and Environment,328844000000.0
2017,5,27.0,5-2017,27000000.0,Agriculture,328844000000.0
2017,5,1329.0,5-2017,1329000000.0,Commerce and Housing Credit,328844000000.0
2017,5,7451.0,5-2017,7451000000.0,Transportation,328844000000.0
2017,5,1383.0,5-2017,1383000000.0,Community and Regional Development,328844000000.0
2017,5,7226.0,5-2017,7226000000.0,"Education, Training, Employment, and Social Services",328844000000.0
2017,5,43559.0,5-2017,43559000000.0,Health,328844000000.0
2017,5,51485.0,5-2017,51485000000.0,Medicare,328844000000.0
2017,5,39055.0,5-2017,39055000000.0,Income Security,328844000000.0
2017,5,78680.0,5-2017,78680000000.0,Social Security,328844000000.0
2017,5,14858.0,5-2017,14858000000.0,Veterans Benefits and Services,328844000000.0
2017,5,4154.0,5-2017,4154000000.0,Administration of Justice,328844000000.0
2017,5,3452.0,5-2017,3452000000.0,General Government,328844000000.0
2017,5,25020.0,5-2017,25020000000.0,Net Interest,328844000000.0
2017,5,-6217.0,5-2017,-6217000000.0,Undistributed Offsetting Receipts,328844000000.0
2017,5,328844.0,5-2017,328844000000.0,Total,328844000000.0
2016,5,42258.0,5-2016,42258000000.0,National Defense,277111000000.0
2016,5,2846.0,5-2016,2846000000.0,International Affairs,277111000000.0
2016,5,2210.0,5-2016,2210000000.0,"General Science, Space, and Technology",277111000000.0
2016,5,413.0,5-2016,413000000.0,Energy,277111000000.0
2016,5,2765.0,5-2016,2765000000.0,Natural Resources and Environment,277111000000.0
2016,5,136.0,5-2016,136000000.0,Agriculture,277111000000.0
2016,5,-137.0,5-2016,-137000000.0,Commerce and Housing Credit,277111000000.0
2016,5,7071.0,5-2016,7071000000.0,Transportation,277111000000.0
2016,5,1650.0,5-2016,1650000000.0,Community and Regional Development,277111000000.0
2016,5,7548.0,5-2016,7548000000.0,"Education, Training, Employment, and Social Services",277111000000.0
2016,5,40129.0,5-2016,40129000000.0,Health,277111000000.0
2016,5,26092.0,5-2016,26092000000.0,Medicare,277111000000.0
2016,5,29954.0,5-2016,29954000000.0,Income Security,277111000000.0
2016,5,76396.0,5-2016,76396000000.0,Social Security,277111000000.0
2016,5,7142.0,5-2016,7142000000.0,Veterans Benefits and Services,277111000000.0
2016,5,4391.0,5-2016,4391000000.0,Administration of Justice,277111000000.0
2016,5,4482.0,5-2016,4482000000.0,General Government,277111000000.0
2016,5,27868.0,5-2016,27868000000.0,Net Interest,277111000000.0
2016,5,-6104.0,5-2016,-6104000000.0,Undistributed Offsetting Receipts,277111000000.0
2016,5,277111.0,5-2016,277111000000.0,Total,277111000000.0
2017,4,40373.0,4-2017,40373000000.0,National Defense,273177000000.0
2017,4,4188.0,4-2017,4188000000.0,International Affairs,273177000000.0
2017,4,2238.0,4-2017,2238000000.0,"General Science, Space, and Technology",273177000000.0
2017,4,24.0,4-2017,24000000.0,Energy,273177000000.0
2017,4,1922.0,4-2017,1922000000.0,Natural Resources and Environment,273177000000.0
2017,4,20.0,4-2017,20000000.0,Agriculture,273177000000.0
2017,4,-787.0,4-2017,-787000000.0,Commerce and Housing Credit,273177000000.0
2017,4,5986.0,4-2017,5986000000.0,Transportation,273177000000.0
2017,4,1543.0,4-2017,1543000000.0,Community and Regional Development,273177000000.0
2017,4,7356.0,4-2017,7356000000.0,"Education, Training, Employment, and Social Services",273177000000.0
2017,4,39612.0,4-2017,39612000000.0,Health,273177000000.0
2017,4,22368.0,4-2017,22368000000.0,Medicare,273177000000.0
2017,4,35956.0,4-2017,35956000000.0,Income Security,273177000000.0
2017,4,78634.0,4-2017,78634000000.0,Social Security,273177000000.0
2017,4,7035.0,4-2017,7035000000.0,Veterans Benefits and Services,273177000000.0
2017,4,4239.0,4-2017,4239000000.0,Administration of Justice,273177000000.0
2017,4,943.0,4-2017,943000000.0,General Government,273177000000.0
2017,4,27440.0,4-2017,27440000000.0,Net Interest,273177000000.0
2017,4,-5914.0,4-2017,-5914000000.0,Undistributed Offsetting Receipts,273177000000.0
2017,4,273177.0,4-2017,273177000000.0,Total,273177000000.0
2016,4,49325.0,4-2016,49325000000.0,National Defense,331980000000.0
2016,4,3169.0,4-2016,3169000000.0,International Affairs,331980000000.0
2016,4,2617.0,4-2016,2617000000.0,"General Science, Space, and Technology",331980000000.0
2016,4,174.0,4-2016,174000000.0,Energy,331980000000.0
2016,4,2733.0,4-2016,2733000000.0,Natural Resources and Environment,331980000000.0
2016,4,46.0,4-2016,46000000.0,Agriculture,331980000000.0
2016,4,-10073.0,4-2016,-10073000000.0,Commerce and Housing Credit,331980000000.0
2016,4,6369.0,4-2016,6369000000.0,Transportation,331980000000.0
2016,4,1640.0,4-2016,1640000000.0,Community and Regional Development,331980000000.0
2016,4,7697.0,4-2016,7697000000.0,"Education, Training, Employment, and Social Services",331980000000.0
2016,4,40566.0,4-2016,40566000000.0,Health,331980000000.0
2016,4,68384.0,4-2016,68384000000.0,Medicare,331980000000.0
2016,4,51919.0,4-2016,51919000000.0,Income Security,331980000000.0
2016,4,76382.0,4-2016,76382000000.0,Social Security,331980000000.0
2016,4,20050.0,4-2016,20050000000.0,Veterans Benefits and Services,331980000000.0
2016,4,4578.0,4-2016,4578000000.0,Administration of Justice,331980000000.0
2016,4,-1876.0,4-2016,-1876000000.0,General Government,331980000000.0
2016,4,22234.0,4-2016,22234000000.0,Net Interest,331980000000.0
2016,4,-13952.0,4-2016,-13952000000.0,Undistributed Offsetting Receipts,331980000000.0
2016,4,331980.0,4-2016,331980000000.0,Total,331980000000.0
2017,3,57692.0,3-2017,57692000000.0,National Defense,392816000000.0
2017,3,4363.0,3-2017,4363000000.0,International Affairs,392816000000.0
2017,3,2568.0,3-2017,2568000000.0,"General Science, Space, and Technology",392816000000.0
2017,3,886.0,3-2017,886000000.0,Energy,392816000000.0
2017,3,2220.0,3-2017,2220000000.0,Natural Resources and Environment,392816000000.0
2017,3,145.0,3-2017,145000000.0,Agriculture,392816000000.0
2017,3,-14068.0,3-2017,-14068000000.0,Commerce and Housing Credit,392816000000.0
2017,3,7821.0,3-2017,7821000000.0,Transportation,392816000000.0
2017,3,1883.0,3-2017,1883000000.0,Community and Regional Development,392816000000.0
2017,3,10573.0,3-2017,10573000000.0,"Education, Training, Employment, and Social Services",392816000000.0
2017,3,46508.0,3-2017,46508000000.0,Health,392816000000.0
2017,3,75345.0,3-2017,75345000000.0,Medicare,392816000000.0
2017,3,65373.0,3-2017,65373000000.0,Income Security,392816000000.0
2017,3,78523.0,3-2017,78523000000.0,Social Security,392816000000.0
2017,3,20679.0,3-2017,20679000000.0,Veterans Benefits and Services,392816000000.0
2017,3,5758.0,3-2017,5758000000.0,Administration of Justice,392816000000.0
2017,3,2902.0,3-2017,2902000000.0,General Government,392816000000.0
2017,3,29871.0,3-2017,29871000000.0,Net Interest,392816000000.0
2017,3,-6227.0,3-2017,-6227000000.0,Undistributed Offsetting Receipts,392816000000.0
2017,3,392816.0,3-2017,392816000000.0,Total,392816000000.0
2016,3,54413.0,3-2016,54413000000.0,National Defense,335891000000.0
2016,3,3685.0,3-2016,3685000000.0,International Affairs,335891000000.0
2016,3,2375.0,3-2016,2375000000.0,"General Science, Space, and Technology",335891000000.0
2016,3,489.0,3-2016,489000000.0,Energy,335891000000.0
2016,3,3327.0,3-2016,3327000000.0,Natural Resources and Environment,335891000000.0
2016,3,447.0,3-2016,447000000.0,Agriculture,335891000000.0
2016,3,-11205.0,3-2016,-11205000000.0,Commerce and Housing Credit,335891000000.0
2016,3,7184.0,3-2016,7184000000.0,Transportation,335891000000.0
2016,3,1486.0,3-2016,1486000000.0,Community and Regional Development,335891000000.0
2016,3,9068.0,3-2016,9068000000.0,"Education, Training, Employment, and Social Services",335891000000.0
2016,3,48800.0,3-2016,48800000000.0,Health,335891000000.0
2016,3,47889.0,3-2016,47889000000.0,Medicare,335891000000.0
2016,3,53228.0,3-2016,53228000000.0,Income Security,335891000000.0
2016,3,75698.0,3-2016,75698000000.0,Social Security,335891000000.0
2016,3,14233.0,3-2016,14233000000.0,Veterans Benefits and Services,335891000000.0
2016,3,4928.0,3-2016,4928000000.0,Administration of Justice,335891000000.0
2016,3,2145.0,3-2016,2145000000.0,General Government,335891000000.0
2016,3,23884.0,3-2016,23884000000.0,Net Interest,335891000000.0
2016,3,-6185.0,3-2016,-6185000000.0,Undistributed Offsetting Receipts,335891000000.0
2016,3,335891.0,3-2016,335891000000.0,Total,335891000000.0
2017,2,45891.0,2-2017,45891000000.0,National Defense,363757000000.0
2017,2,4327.0,2-2017,4327000000.0,International Affairs,363757000000.0
2017,2,2296.0,2-2017,2296000000.0,"General Science, Space, and Technology",363757000000.0
2017,2,160.0,2-2017,160000000.0,Energy,363757000000.0
2017,2,2815.0,2-2017,2815000000.0,Natural Resources and Environment,363757000000.0
2017,2,612.0,2-2017,612000000.0,Agriculture,363757000000.0
2017,2,-588.0,2-2017,-588000000.0,Commerce and Housing Credit,363757000000.0
2017,2,6082.0,2-2017,6082000000.0,Transportation,363757000000.0
2017,2,1734.0,2-2017,1734000000.0,Community and Regional Development,363757000000.0
2017,2,11642.0,2-2017,11642000000.0,"Education, Training, Employment, and Social Services",363757000000.0
2017,2,43785.0,2-2017,43785000000.0,Health,363757000000.0
2017,2,45668.0,2-2017,45668000000.0,Medicare,363757000000.0
2017,2,86301.0,2-2017,86301000000.0,Income Security,363757000000.0
2017,2,77768.0,2-2017,77768000000.0,Social Security,363757000000.0
2017,2,14328.0,2-2017,14328000000.0,Veterans Benefits and Services,363757000000.0
2017,2,4063.0,2-2017,4063000000.0,Administration of Justice,363757000000.0
2017,2,1776.0,2-2017,1776000000.0,General Government,363757000000.0
2017,2,21176.0,2-2017,21176000000.0,Net Interest,363757000000.0
2017,2,-6079.0,2-2017,-6079000000.0,Undistributed Offsetting Receipts,363757000000.0
2017,2,363757.0,2-2017,363757000000.0,Total,363757000000.0
2016,2,44310.0,2-2016,44310000000.0,National Defense,361761000000.0
2016,2,3441.0,2-2016,3441000000.0,International Affairs,361761000000.0
2016,2,2412.0,2-2016,2412000000.0,"General Science, Space, and Technology",361761000000.0
2016,2,-174.0,2-2016,-174000000.0,Energy,361761000000.0
2016,2,3123.0,2-2016,3123000000.0,Natural Resources and Environment,361761000000.0
2016,2,1317.0,2-2016,1317000000.0,Agriculture,361761000000.0
2016,2,973.0,2-2016,973000000.0,Commerce and Housing Credit,361761000000.0
2016,2,6927.0,2-2016,6927000000.0,Transportation,361761000000.0
2016,2,1819.0,2-2016,1819000000.0,Community and Regional Development,361761000000.0
2016,2,13322.0,2-2016,13322000000.0,"Education, Training, Employment, and Social Services",361761000000.0
2016,2,39897.0,2-2016,39897000000.0,Health,361761000000.0
2016,2,45399.0,2-2016,45399000000.0,Medicare,361761000000.0
2016,2,91822.0,2-2016,91822000000.0,Income Security,361761000000.0
2016,2,75699.0,2-2016,75699000000.0,Social Security,361761000000.0
2016,2,13835.0,2-2016,13835000000.0,Veterans Benefits and Services,361761000000.0
2016,2,5738.0,2-2016,5738000000.0,Administration of Justice,361761000000.0
2016,2,-502.0,2-2016,-502000000.0,General Government,361761000000.0
2016,2,18824.0,2-2016,18824000000.0,Net Interest,361761000000.0
2016,2,-6421.0,2-2016,-6421000000.0,Undistributed Offsetting Receipts,361761000000.0
2016,2,361761.0,2-2016,361761000000.0,Total,361761000000.0
2017,1,40315.0,1-2017,40315000000.0,National Defense,292812000000.0
2017,1,4748.0,1-2017,4748000000.0,International Affairs,292812000000.0
2017,1,2089.0,1-2017,2089000000.0,"General Science, Space, and Technology",292812000000.0
2017,1,410.0,1-2017,410000000.0,Energy,292812000000.0
2017,1,3462.0,1-2017,3462000000.0,Natural Resources and Environment,292812000000.0
2017,1,1239.0,1-2017,1239000000.0,Agriculture,292812000000.0
2017,1,784.0,1-2017,784000000.0,Commerce and Housing Credit,292812000000.0
2017,1,6168.0,1-2017,6168000000.0,Transportation,292812000000.0
2017,1,2387.0,1-2017,2387000000.0,Community and Regional Development,292812000000.0
2017,1,10617.0,1-2017,10617000000.0,"Education, Training, Employment, and Social Services",292812000000.0
2017,1,42903.0,1-2017,42903000000.0,Health,292812000000.0
2017,1,45687.0,1-2017,45687000000.0,Medicare,292812000000.0
2017,1,27056.0,1-2017,27056000000.0,Income Security,292812000000.0
2017,1,78281.0,1-2017,78281000000.0,Social Security,292812000000.0
2017,1,7410.0,1-2017,7410000000.0,Veterans Benefits and Services,292812000000.0
2017,1,5840.0,1-2017,5840000000.0,Administration of Justice,292812000000.0
2017,1,-1639.0,1-2017,-1639000000.0,General Government,292812000000.0
2017,1,21692.0,1-2017,21692000000.0,Net Interest,292812000000.0
2017,1,-6637.0,1-2017,-6637000000.0,Undistributed Offsetting Receipts,292812000000.0
2017,1,292812.0,1-2017,292812000000.0,Total,292812000000.0
